Equipment,Stats,Effect,Requirements,Who drops it
Acorn-Cup Buckler,DEF +6; VIT +3; Max HP +100,"While your HP is above 80%, your self-shields absorb 20% less damage per incoming hit. This does not reduce damage that reaches HP.",Slot: Off-hand (Shield); Classes: Knight; Minimum level: 10,Tuskettle
Vigilwick,MATK +55; DEX +3,"After one of your damaging actives hits, your next landed basic within 3s adds 0.25 x your MATK as magic damage. One stored charge; refreshes do not stack.",Slot: Weapon (Wand); Classes: Mage; Minimum level: 15,Wickeep
Moon-Seam Mantle,DEF +5; MDEF +5; INT +3,Casting a purely non-damaging active reduces damage taken from the next enemy magical active within 3s by 18%. One charge; at most one activation per 4s.,Slot: Body (Robe); Classes: Mage / Druid; Minimum level: 25,Lunaskein
Slagjaw Carapace,DEF +13; VIT +4; AGI -3,The first enemy basic attack to hit you in battle deals 50% less damage. Enemy active skills do not consume this protection.,Slot: Body (Plate); Classes: Knight; Minimum level: 25,Slagjaw
Copper-Bristle Crest,DEF +3; STR +3; DEX +3; HIT +8,None,Slot: Head (Helm); Classes: Knight / Hunter; Minimum level: 15,Bellowsnout
Pillowfold Charm,INT +2; VIT +2; Max HP +150,"When you receive effective healing from another core ally, your next active within 3s grants you a shield worth 3% of your maximum HP for 2s. One charge; 4s trigger cooldown.",Slot: Accessory (Charm); Classes: All; Minimum level: 20,Dreamtapir
Silent Brushpads,DEF +2; AGI +4; FLEE +8,Your first landed basic against the initial target and each new normal target after a death adds 0.35 x your ATK as physical damage. Taunts and decoys do not reset this bonus.,Slot: Feet (Boots); Classes: Hunter; Minimum level: 10,Inkmarten
Spadetail Wrap,DEF +8; VIT +3; STR +2,"While below 50% HP, your basic attacks deal 15% more primary damage, but healing you receive from other allies is 10% weaker. Self-healing is unchanged.",Slot: Body (Mantle); Classes: Knight / Druid; Minimum level: 15,Brimble
Charcoal Knucklefocus,MATK +50; VIT +4; Max HP +100,Every second landed personal basic adds 0.30 x your MATK as magic damage to your next damaging active within 4s. One stored charge; the bonus applies once to its primary target.,Slot: Weapon (Rod); Classes: Mage; Minimum level: 30,Cinderknuckle
Unshorn Fleece,DEF +7; MDEF +4; VIT +3,Effective healing from your own actives applied to an ally above 70% HP also reduces that ally's next basic-attack damage received within 3s by 20%. One protection charge per ally; 3s reapplication cooldown per ally.,Slot: Body (Coat); Classes: All; Minimum level: 20,Fluffyak
