id,name,family,region,design_role,combat_identity,prototype_mechanical_role,element,attack_base,basic_category,base_hp,base_attack,speed,ready_seconds,arena_move_per_second,basic_reach,passive_id,passive,passive_description,skills,default_three,habitat,source_level,sheet_source_level,encounter_source,map_species_count,availability_percent,recheck_seconds,echo_percent,live_loot_json,xp_per_participating_individual,future_boss_essence_json,proposed_not_live_loot_json,silhouette_brief,animation_brief,art_status,all_habitats_json
emberfox,Brimble,Demon / fiend,Mosslight,Fighter,Scrappy melee fighter,Melee DPS,Fire,Strength-based,melee,610,49,64.51612903225806,1.55,12,12,innate-emberfox,Tailblanket,"While above 70% HP, gain 10% damage reduction. After first falling below 70%, gain +15% physical damage for 3s; this offensive trigger occurs once per battle.",sig-emberfox-spade-flick=Spade Flick; sig-emberfox-blanket-curl=Blanket Curl; sig-emberfox-imp-s-reprisal=Imp's Reprisal; general-focused-attack=Focused Attack; general-fortify=Fortify; pounce=Pounce; burn=Cinderbite; pierce=Wild Lunge; quickstep=Quickstep; firefan=Firefan,sig-emberfox-spade-flick; sig-emberfox-blanket-curl; sig-emberfox-imp-s-reprisal,clearing-0,2,1,Wild,144,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 6, ""chanceBP"": 10000}, {""id"": ""echo:emberfox"", ""quantity"": 1, ""chanceBP"": 1500}, {""id"": ""leafdraught"", ""quantity"": 1, ""chanceBP"": 3500}]",500,null,"[{""id"": ""meadowfiber"", ""name"": ""Meadow Fiber"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Woven Inner Sea mats"", ""status"": ""PLANNED_NOT_LIVE""}]","A stubby imp with tiny blunt horns, warm ember eyes and an enormous spade-shaped tail that wraps around it like a blanket.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""clearing-0:emberfox"", ""map"": ""clearing-0"", ""mapName"": ""Firstlight Meadow"", ""level"": 2, ""spawnSlots"": 144, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 750, ""y"": 5100, ""radiusWorldUnits"": 200}]"
stonehorn,Rattlebit,Skeletal / undead,Mosslight,Fighter,Resilient light fighter,Tank,Earth,Strength-based,melee,1100,26,43.47826086956522,2.3,4.8,12,innate-stonehorn,Good as New,Receiving effective healing equal to at least 3% max HP within 2s primes the next landed basic attack for +0.45 ATK physical damage. One charge maximum; at most one activation every 3s.,sig-stonehorn-knucklebone=Knucklebone; sig-stonehorn-fold-and-mend=Fold and Mend; sig-stonehorn-rattle-rally=Rattle Rally; general-battle-rhythm=Battle Rhythm; general-fortify=Fortify; guard=Bondguard; fortify=Fortify; slam=Pebble Slam; boulder=Boulder Toss; rally=Rallying Ward,sig-stonehorn-knucklebone; sig-stonehorn-fold-and-mend; sig-stonehorn-rattle-rally,clearing-0,5,5,Wild,48,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 7, ""chanceBP"": 10000}, {""id"": ""echo:stonehorn"", ""quantity"": 1, ""chanceBP"": 1500}, {""id"": ""leafdraught"", ""quantity"": 1, ""chanceBP"": 4500}, {""id"": ""revivalsalve"", ""quantity"": 1, ""chanceBP"": 1000}]",800,null,"[{""id"": ""meadowfiber"", ""name"": ""Meadow Fiber"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Woven Inner Sea mats"", ""status"": ""PLANNED_NOT_LIVE""}]","A tiny ivory skeleton has an oversized skull, mitten-like bone hands and short limbs that fold neatly into its rib cage.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""clearing-0:stonehorn"", ""map"": ""clearing-0"", ""mapName"": ""Firstlight Meadow"", ""level"": 5, ""spawnSlots"": 48, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 5200, ""y"": 6100, ""radiusWorldUnits"": 200}]"
stormowl,Tempestool,Plant / fungus,Windstep,DPS / Supp,Wind-zone controller,Ranged DPS,Wind,Int-Based,magic,570,46,60.60606060606061,1.65,8.8,34,innate-stormowl,Pressure Spores,A direct damaging signature applies one Spore for 3s. Its target's next active consumes it for 0.40 MATK magic damage after that active resolves; 2s reapplication cooldown per target.,sig-stormowl-sporebolt=Sporebolt; sig-stormowl-stormcap-canopy=Stormcap Canopy; sig-stormowl-thunderhead-totem=Thunderhead Totem; general-focused-attack=Focused Attack; general-greater-heal=Greater Heal; chain=Chain Spark; snipe=Skyneedle; gust=Headwind; staticbolt=Static Bolt; tailwind=Tailwind,sig-stormowl-sporebolt; sig-stormowl-stormcap-canopy; sig-stormowl-thunderhead-totem,rise-0,60,60,Wild,3,100.0,60,15.0,"[{""id"": ""coins"", ""quantity"": 26, ""chanceBP"": 10000}, {""id"": ""echo:stormowl"", ""quantity"": 1, ""chanceBP"": 1500}]",6300,null,"[{""id"": ""windthread"", ""name"": ""Wind Thread"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Decorative pennants"", ""status"": ""PLANNED_NOT_LIVE""}]","A tall mushroom floats beneath a broad, ribbed cap, its long root-tendrils twisting together into a narrow hanging funnel.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""rise-0:stormowl"", ""map"": ""rise-0"", ""mapName"": ""Windstep Prairie"", ""level"": 60, ""spawnSlots"": 3, ""spawnChanceBP"": 10000, ""respawnSeconds"": 60, ""x"": 1406.6000000000001, ""y"": 5040, ""radiusWorldUnits"": 200}]"
bloomslime,Bloomslime,Elemental / abstract,Mosslight,Tank / Supp,Absorbing recovery tank,Support,Earth,Int-Based,magic,500,20,52.631578947368425,1.9,6.4,34,innate-bloomslime,Emergency Bloom,"Once per battle, after surviving an enemy hit that leaves Bloomslime below 50% HP, heal both other living allies for 0.80 MATK and self for 5% max HP. It does not trigger after a lethal hit or revive a dead trainer.",sig-bloomslime-bud-pulse=Bud Pulse; sig-bloomslime-slime-encasement=Slime Encasement; sig-bloomslime-closed-garden=Closed Garden; general-brace=Brace; general-basic-heal=Basic Heal; bloom=Little Bloom; haste=Springstep; cleanse=Fresh Start; spore=Spore Toss; petalward=Petal Ward,sig-bloomslime-bud-pulse; sig-bloomslime-slime-encasement; sig-bloomslime-closed-garden,clearing-0,3,8,Wild,96,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 7, ""chanceBP"": 10000}, {""id"": ""echo:bloomslime"", ""quantity"": 1, ""chanceBP"": 1500}, {""id"": ""leafdraught"", ""quantity"": 1, ""chanceBP"": 6000}]",600,null,"[{""id"": ""meadowfiber"", ""name"": ""Meadow Fiber"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Woven Inner Sea mats"", ""status"": ""PLANNED_NOT_LIVE""}]","A clear, wobbly slime holds a huge closed flower bud inside its body, with stubby feet and a tiny face below the bud.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""clearing-0:bloomslime"", ""map"": ""clearing-0"", ""mapName"": ""Firstlight Meadow"", ""level"": 3, ""spawnSlots"": 96, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 2650, ""y"": 3900, ""radiusWorldUnits"": 200}]"
frostfang,Shardclaw,Beast,Moonwell,DPS,Melee burst attacker,Melee DPS,Water,Dex-Based,ranged,620,45,62.5,1.6,11.6,12,innate-frostfang,Fault Finder,"Direct physical hits deal 25% more damage to shields only. When Shardclaw breaks an enemy shield, its next direct hit within 3s ignores 8 points of physical mitigation; at most once per 3s.",sig-frostfang-crystal-rake=Crystal Rake; sig-frostfang-splinter-wedge=Splinter Wedge; sig-frostfang-fracture-pounce=Fracture Pounce; general-fortify=Fortify; frostbite=Frostbite; icepounce=Ice Pounce; snowfall=Snowfall; snowhide=Snowhide; packrush=Pack Rush,sig-frostfang-crystal-rake; sig-frostfang-splinter-wedge; sig-frostfang-fracture-pounce,ruins-0,40,40,Wild,3,100.0,60,15.0,"[{""id"": ""coins"", ""quantity"": 19, ""chanceBP"": 10000}, {""id"": ""echo:frostfang"", ""quantity"": 1, ""chanceBP"": 1500}]",4300,null,"[{""id"": ""moonchalk"", ""name"": ""Moon Chalk"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Moonwell wall patterns"", ""status"": ""PLANNED_NOT_LIVE""}]","A low, long-bodied cat with one oversized translucent foreclaw, a narrow wedge-shaped head and a thick balancing tail.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""ruins-0:frostfang"", ""map"": ""ruins-0"", ""mapName"": ""Moonlit Gardens"", ""level"": 40, ""spawnSlots"": 3, ""spawnChanceBP"": 10000, ""respawnSeconds"": 60, ""x"": 1288.8, ""y"": 4435.2, ""radiusWorldUnits"": 200}]"
cindrake,Ashskate,Reptile / amphibian,Amber Hollow,DPS,Sliding skirmish DPS,Ranged DPS,Fire,Int-Based,magic,600,42,54.05405405405405,1.85,8,34,innate-cindrake,Carry the Spark,"Gain one Spark per personal damaging-active cast that lands on an eligible encounter enemy, maximum 3; multi-hit/AoE counts once. At 3 Sparks, reduce the remaining cooldown of the 4s slot by 1s.",sig-cindrake-ash-arc=Ash Arc; sig-cindrake-scorchline=Scorchline; sig-cindrake-bladefoot-flare=Bladefoot Flare; general-basic-heal=Basic Heal; general-fortify=Fortify; emberbreath=Ember Breath; fireball=Fireball; ashveil=Ash Veil; scorch=Scorch; wingdraft=Wingdraft,sig-cindrake-ash-arc; sig-cindrake-scorchline; sig-cindrake-bladefoot-flare,hollow-0,20,20,Wild,3,100.0,60,15.0,"[{""id"": ""coins"", ""quantity"": 12, ""chanceBP"": 10000}, {""id"": ""echo:cindrake"", ""quantity"": 1, ""chanceBP"": 1500}]",2300,null,"[{""id"": ""amberresin"", ""name"": ""Amber Resin"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Warm lantern housings"", ""status"": ""PLANNED_NOT_LIVE""}]","A flat skink has a long balancing tail, small alert eyes and four broad blade-shaped feet splayed close to the ground.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""hollow-0:cindrake"", ""map"": ""hollow-0"", ""mapName"": ""Amber Heath"", ""level"": 20, ""spawnSlots"": 3, ""spawnChanceBP"": 10000, ""respawnSeconds"": 60, ""x"": 1385.8, ""y"": 4636.8, ""radiusWorldUnits"": 200}]"
ironback,Ironback,Reptile / amphibian,Willowbrook,Tank,Directional shelter tank,Tank,Earth,Strength-based,melee,1060,24,41.66666666666667,2.4,4.4,12,innate-ironback,Tilted Carapace,"The first direct enemy hit received reduces its damage by 30%, then puts this block on a 3s cooldown. Shields do not prevent the cooldown from being consumed.",sig-ironback-shellknuckle=Shellknuckle; sig-ironback-interposing-plate=Interposing Plate; sig-ironback-hold-the-shell=Hold the Shell; general-brace=Brace; general-focused-attack=Focused Attack; shellguard=Shellguard; carapace=Carapace; shellbash=Shell Bash; stonewave=Stonewave; ironward=Iron Ward,sig-ironback-shellknuckle; sig-ironback-interposing-plate; sig-ironback-hold-the-shell,brook-0,8,8,Wild,15,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 8, ""chanceBP"": 10000}, {""id"": ""echo:ironback"", ""quantity"": 1, ""chanceBP"": 1500}]",1100,null,"[{""id"": ""riverpearl"", ""name"": ""River Glass"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Water-themed Inner Sea ornaments"", ""status"": ""PLANNED_NOT_LIVE""}]","A broad turtle has one oversized shell plate that tilts upright, thick forelegs and a small, stern face under a deep brow.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""brook-0:ironback"", ""map"": ""brook-0"", ""mapName"": ""Brookside Fields"", ""level"": 8, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 1163.8, ""y"": 4838.4, ""radiusWorldUnits"": 200}]"
thornstag,Thornmaw,Plant / fungus,Amber Hollow,Fighter / Tank,Ambush bruiser,Tank,Earth,Strength-based,melee,940,32,47.61904761904762,2.1,6.8,12,innate-thornstag,Biting Thorns,"When hit by a basic attack, retaliate for 0.25 ATK physical damage plus 1% max HP, capped at 0.65 ATK total. Shared 0.75s cooldown; counter damage cannot trigger counters.",sig-thornstag-briar-bite=Briar Bite; sig-thornstag-thorn-cinch=Thorn Cinch; sig-thornstag-rootjaw-clamp=Rootjaw Clamp; general-fortify=Fortify; general-focused-attack=Focused Attack; antler=Antler Rush; rootbind=Rootbind; wildguard=Wildguard; greencanopy=Green Canopy; lifebud=Lifebud,sig-thornstag-briar-bite; sig-thornstag-thorn-cinch; sig-thornstag-rootjaw-clamp,hollow-0,22,22,Wild,3,100.0,60,15.0,"[{""id"": ""coins"", ""quantity"": 13, ""chanceBP"": 10000}, {""id"": ""echo:thornstag"", ""quantity"": 1, ""chanceBP"": 1500}]",2500,null,"[{""id"": ""amberresin"", ""name"": ""Amber Resin"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Warm lantern housings"", ""status"": ""PLANNED_NOT_LIVE""}]","A heavy seedpod jaw sits on four buttress-root legs, with a small pair of eyes hidden beneath an overhanging thorny brow.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""hollow-0:thornstag"", ""map"": ""hollow-0"", ""mapName"": ""Amber Heath"", ""level"": 22, ""spawnSlots"": 3, ""spawnChanceBP"": 10000, ""respawnSeconds"": 60, ""x"": 3304.6, ""y"": 6854.400000000001, ""radiusWorldUnits"": 200}]"
tideotter,Tideotter,Beast,Mosslight,Fighter / Supp,Mobile utility fighter,Support,Water,Strength-based,melee,510,23,54.05405405405405,1.85,8,12,innate-tideotter,Pocket Droplets,"Every second landed basic attack grants one Droplet, maximum 2. The next damaging signature spends all Droplets for +0.20 ATK damage each; a healing signature instead adds +0.30 MATK healing each.",sig-tideotter-paddle-combination=Paddle Combination; sig-tideotter-tailbreak-guard=Tailbreak Guard; sig-tideotter-restorative-current=Restorative Current; general-fortify=Fortify; general-brace=Brace; general-basic-heal=Basic Heal; springwater=Springwater; riptide=Riptide; ripples=Healing Ripples; rivercleanse=River Cleanse; bubbleward=Bubble Ward,sig-tideotter-paddle-combination; sig-tideotter-tailbreak-guard; sig-tideotter-restorative-current,clearing-1,10,10,Wild,24,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 9, ""chanceBP"": 10000}, {""id"": ""echo:tideotter"", ""quantity"": 1, ""chanceBP"": 1500}]",1300,null,"[{""id"": ""meadowfiber"", ""name"": ""Meadow Fiber"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Woven Inner Sea mats"", ""status"": ""PLANNED_NOT_LIVE""}]","A small otter has broad paddle-like mittens, a thick flat tail and a pale muzzle framed by two swept-back cheek tufts.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""clearing-0:tideotter"", ""map"": ""clearing-1"", ""mapName"": ""Fernpath Woods"", ""level"": 10, ""spawnSlots"": 24, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 1419.6000000000001, ""y"": 4424.7, ""radiusWorldUnits"": 200}]"
lumimoth,Lumimoth,Invertebrate,Willowbrook,Supp,Mobile recovery support,Support,Wind,Int-Based,magic,470,25,55.55555555555556,1.8,8.8,34,innate-lumimoth,Guiding Lanterns,All living allies gain +15 HIT while Lumimoth lives. A ally shielded by Lumimoth or inside one of its Light Beacons gains a further +10 HIT; these two conditions do not stack.,sig-lumimoth-lantern-dust=Lantern Dust; sig-lumimoth-hood-of-light=Hood of Light; sig-lumimoth-two-lanterns=Two Lanterns; general-basic-ward=Basic Ward; general-greater-heal=Greater Heal; moonbeam=Moonbeam; moondust=Moondust; lantern=Guiding Lantern; lull=Lullaby; aurora=Aurora,sig-lumimoth-lantern-dust; sig-lumimoth-hood-of-light; sig-lumimoth-two-lanterns,brook-0,10,10,Wild,15,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 9, ""chanceBP"": 10000}, {""id"": ""echo:lumimoth"", ""quantity"": 1, ""chanceBP"": 1500}]",1300,null,"[{""id"": ""riverpearl"", ""name"": ""River Glass"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Water-themed Inner Sea ornaments"", ""status"": ""PLANNED_NOT_LIVE""}]","A fuzzy moth wears a deep hood-like collar, with broad split wings and two soft lantern-shaped pockets near its shoulders.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""brook-0:lumimoth"", ""map"": ""brook-0"", ""mapName"": ""Brookside Fields"", ""level"": 10, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 3068.2, ""y"": 3729.6, ""radiusWorldUnits"": 200}]"
