Item,Effect,Who drops it,Restrictions,Class
Cupheart Token,"After the wearer creates a self-shield with an active, its next incoming basic hit within 3s deals 30% less damage to that shield only. Any damage that reaches HP is unchanged. One charge; 4s grant cooldown.",Tuskettle,None,Tank
Last-Candle Wax,"After the trainer casts a purely non-damaging active, the wearer gains 18% basic attack rate for 2s but receives 15% less healing during that window. Refreshes do not stack; 3s trigger cooldown.",Wickeep,Haunted object or Afterlife spirit families only.,DPS
Eclipse Knot,"Damage-over-time ticks applied by the wearer deal 35% more damage, but its direct damaging actives deal 20% less primary damage. Neither modifier changes effect duration or secondary splash.",Lunaskein,None,DPS
First-Fang Wedge,The first enemy active to hit the wearer deals 35% less direct damage to it. All hits belonging to that single cast receive the reduction; basic attacks and damage-over-time ticks do not consume the protection.,Slagjaw,Construct or Skeletal / undead families only.,Tank
Bellows Valve,"Every third landed personal basic primes the next damaging active for 25% more primary physical damage, but that empowered cast loses its secondary splash damage. One stored charge; the wearer must still equip a damaging active.",Bellowsnout,None,DPS
Drowsy Pearl,"When the wearer applies a debuff that lowers basic attack rate, that target also loses 20 HIT while that debuff remains, up to 3s per application. Refreshing renews the duration without stacking HIT loss; no extra slow or hard control is added.",Dreamtapir,None,Debuff
Blank-Page Brush,"The first two landed basics against each genuine normal target deal 25% more primary damage; later basics against that target deal 10% less. Works on the initial enemy and death-based replacements, never repeated taunt or decoy switches.",Inkmarten,None,DPS
Blanket Ember,"While above 70% HP, the wearer takes 12% less direct damage but deals 12% less primary direct damage. Both modifiers end at 70% HP or lower and return if healed above the threshold.",Brimble,None,Tank
Charcoal Handwarmer,A purely non-damaging personal active empowers the wearer's next landed basic within 3s with 0.35 x its MATK as added magic damage. One stored charge; this does not change the basic's original damage type.,Cinderknuckle,None,DPS
Hearth-Wool Spool,"The wearer's direct active heals are 20% weaker on their primary recipient, but if they restore HP, that core ally gains 20% primary basic-attack damage for 2s. The buff refreshes rather than stacks; secondary recipients do not receive it.",Fluffyak,None,Supp
Faultglass Shard,"When the wearer breaks an enemy shield with a personal primary hit, that enemy loses 25 FLEE for 3s. The opening benefits all attackers; item damage and summoned attacks cannot trigger it. At most once per 3s.",Shardclaw,None,Debuff
Spare Rib,"While the wearer has a personal shield, direct critical hits against it deal 25% less damage. Noncritical hits are unchanged, and the protection ends immediately after the last shield is gone.",Hornvault,Skeletal / undead family only.,Tank
Antler Bloom,"After the wearer lands a damaging active, its next direct active heal arms the primary core-ally recipient with a Thorn for 3s. That ally's next landed basic spends it for 0.35 x the wearer's MATK as extra magic damage. One Thorn per ally; refreshes do not add charges.",Lilydeer,None,Supp
Pocket Pillow,"A direct active heal that restores HP gives its primary core-ally recipient +25 FLEE for 2s, but that ally's next damaging active during the buff deals 10% less primary damage. Healing the wearer itself is allowed; repeated buffs refresh.",Pillowisp,None,Supp
Rootcellar Pebble,"While the wearer and its current normal target are both below 60% HP, the wearer takes 18% less direct damage from that enemy. Other enemies and damage over time receive no modifier.",Burrowlug,None,Tank
Loose Joint,"After enemy hits cumulatively remove 12% of the wearer's maximum HP, its next personal active creates a 4% maximum-HP self-shield for 3s. One stored charge; shield damage, self-costs, and redirected damage do not count. At most one charge per 4s.",Cairnox,None,Tank
Packstone,"When the wearer and trainer land primary hits on the same enemy within 1.5s, the trainer gains 12% basic attack rate for 2s. At most once per 4s; summons and bonus hits do not satisfy either participant.",Pebblepup,None,Supp
Charred Mane Tuft,"The wearer's basic attacks deal 22% more primary damage to enemies below 50% HP, but 10% less to enemies at 50% HP or higher. Active skills and damage over time are unchanged.",Pyreling,None,DPS
Cistern Plug,"When a shield the wearer created with an active expires naturally on a core ally, convert 40% of its unused capacity into healing on that ally, capped at 4% of the wearer's maximum HP. Broken, overwritten, and dispelled shields do not pay out.",Pluvault,None,Supp
Currentglass Scale,Three consecutive landed personal basics prime the next damaging active for +25 HIT and 15% more primary physical damage. A miss resets the unfinished count but not a completed charge. One stored charge; magic actives can consume it but gain no damage bonus.,Rillblade,None,DPS
Germination Husk,"The wearer's first three landed basics each fire one seed at a different enemy within one melee-reach distance of the primary target, dealing 0.25 x the wearer's ATK as physical damage. No extra damage against a lone enemy; unused seeds remain until a valid secondary target exists.",Seedskit,Plant / fungus family only.,DPS
Repair Ribbon,"After another core ally effectively heals the wearer with an active, the wearer's next landed damaging active grants that healer 15% basic attack rate for 3s. One stored healer, replaced by a newer qualifying heal; expires after 4s.",Rattlebit,None,Supp
Compressed Gust,"After surviving a single enemy hit that removes at least 8% of its maximum HP, the wearer's next damaging active splashes 30% of its pre-mitigation primary damage onto one other enemy within one melee reach. Splash is capped at 0.50 x the wearer's primary attack stat; one charge for 4s; 5s trigger cooldown.",Squallcub,None,DPS
Crooked Button,A landed damaging active marks its primary enemy for 3s. The trainer's first primary hit against that mark consumes it and reduces the enemy's healing and shielding output by 20% for 3s. One mark at a time; 4s application cooldown.,Pinstitch,None,Debuff
Bramble Bit,"While the wearer is shielded, enemy basic attacks against it apply a 15% healing-received reduction to their attacker for 3s. The hit may break the shield and still qualify; repeated applications refresh instead of stack.",Thornmaw,None,Debuff
Forecast Slip,"Damaging actives whose primary impact is already delayed by at least 1s deal 30% more primary damage but arrive 0.5s later. Does not modify ordinary cast time, repeated pulses, or damage-over-time ticks.",Amberkite,None,DPS
Quarry Beakchip,"The wearer's first basic miss against each enemy reduces that enemy's FLEE by 25 for 3s. Once per enemy per battle; guaranteed dodges, invulnerability, and target invalidation are not accuracy misses.",Cragbeak,None,Debuff
Silent Beater,"An active shield on another core ally grants it a Return Note for 3s. Its next landed basic consumes the Note and gives the wearer a shield equal to 25% of the original shield's initial capacity, capped at 3% of the wearer's maximum HP, for 2s. One Note per ally; 3s shared grant cooldown.",Gonglet,None,Supp
Tempered Feather,"While unshielded, the wearer's damaging actives deal 20% more primary damage. Self-shields created by the wearer have 25% less capacity; shields received from other allies keep their normal capacity.",Glassphoenix,"Birds only: Cragbeak, Veilheron, Honeylark, Hushowl, Hopgrit, Glassphoenix, Tempestrook.",DPS
Wingveil Brooch,The first primary basic attack each distinct enemy makes against the wearer cannot critically hit. The attack still makes its normal accuracy check and deals ordinary noncritical damage if it lands.,Veilheron,None,Tank
Honeybeat Lozenge,A direct active heal that restores HP grants its primary core-ally recipient 10% basic attack rate for 2s. Repeated applications refresh rather than stack. Passive healing and secondary area-heal recipients do not grant the buff.,Honeylark,None,Supp
Hush Feather,"After the wearer applies a HIT- or FLEE-reducing debuff, that enemy's next damaging active within 4s deals 12% less primary damage. One charge per target; 4s application cooldown shared across targets. No Silence is added.",Hushowl,None,Debuff
Crescent Filament,"A landed critical basic applies a bleed dealing a total of 0.18 x the wearer's ATK as physical damage over 3s. Up to three independent bleeds per target; at the cap, refresh the oldest instead of adding one. One application per second.",Razorwing,None,DPS
Severed Chevron,"If the wearer kills its normal target with a personal primary hit, store 25% of the killing hit's overkill, capped at 0.60 x its primary attack stat. Its next damaging active on the new normal target adds that store in the active's damage type. One store, lasting 4s; temporary summons do not qualify.",Snipstream,None,DPS
