Lvl,Mon,Main role,Atk Base,Str,Agi,Dex,Int,Vit,Base HP,Base ATK,Base Def
1,Tuskettle,Tank,Strength-based,9,3,6,2,9,207,18,4
2,Tuskettle,Tank,Strength-based,9,3,6,2,10,232,19,4
3,Tuskettle,Tank,Strength-based,10,3,6,2,11,259,22,4
4,Tuskettle,Tank,Strength-based,10,3,6,2,12,288,23,4
5,Tuskettle,Tank,Strength-based,10,3,6,2,13,318,24,5
6,Tuskettle,Tank,Strength-based,11,3,7,2,13,348,26,5
7,Tuskettle,Tank,Strength-based,11,3,7,2,14,381,27,5
8,Tuskettle,Tank,Strength-based,12,3,8,2,14,413,29,5
9,Tuskettle,Tank,Strength-based,12,3,8,2,15,449,31,6
10,Tuskettle,Tank,Strength-based,12,3,9,2,16,488,32,6
11,Tuskettle,Tank,Strength-based,13,3,9,3,16,524,34,6
12,Tuskettle,Tank,Strength-based,13,3,10,3,17,566,36,7
13,Tuskettle,Tank,Strength-based,14,4,10,3,17,604,38,7
14,Tuskettle,Tank,Strength-based,14,4,11,3,18,649,39,7
15,Tuskettle,Tank,Strength-based,14,4,11,4,19,696,40,7
16,Tuskettle,Tank,Strength-based,15,4,11,4,20,745,42,8
17,Tuskettle,Tank,Strength-based,16,4,11,4,21,796,45,8
18,Tuskettle,Tank,Strength-based,18,4,11,4,21,840,48,8
19,Tuskettle,Tank,Strength-based,18,5,11,4,22,895,49,9
20,Tuskettle,Tank,Strength-based,18,6,11,4,23,952,50,9
21,Tuskettle,Tank,Strength-based,19,6,11,4,24,1010,52,9
22,Tuskettle,Tank,Strength-based,20,6,12,4,24,1061,57,9
23,Tuskettle,Tank,Strength-based,21,6,12,4,25,1123,59,10
24,Tuskettle,Tank,Strength-based,21,6,13,4,26,1188,61,10
25,Tuskettle,Tank,Strength-based,22,6,13,4,27,1254,63,10
26,Tuskettle,Tank,Strength-based,23,6,13,4,28,1322,65,11
27,Tuskettle,Tank,Strength-based,23,6,14,4,29,1393,66,11
28,Tuskettle,Tank,Strength-based,24,6,14,4,30,1466,68,11
29,Tuskettle,Tank,Strength-based,24,7,15,4,31,1541,70,11
30,Tuskettle,Tank,Strength-based,26,7,15,4,31,1607,73,12
31,Tuskettle,Tank,Strength-based,26,7,16,4,32,1685,74,12
32,Tuskettle,Tank,Strength-based,27,7,16,4,33,1767,77,12
33,Tuskettle,Tank,Strength-based,27,7,17,5,34,1851,78,13
34,Tuskettle,Tank,Strength-based,28,7,17,5,35,1938,80,13
35,Tuskettle,Tank,Strength-based,29,8,18,5,35,2012,82,13
36,Tuskettle,Tank,Strength-based,30,8,18,5,36,2102,89,13
37,Tuskettle,Tank,Strength-based,30,8,20,5,37,2196,91,14
38,Tuskettle,Tank,Strength-based,31,8,20,5,38,2292,93,14
39,Tuskettle,Tank,Strength-based,32,8,20,5,39,2390,95,14
40,Tuskettle,Tank,Strength-based,33,8,20,5,40,2490,98,15
41,Tuskettle,Tank,Strength-based,33,8,22,5,41,2594,99,15
42,Tuskettle,Tank,Strength-based,34,8,22,5,42,2700,101,15
43,Tuskettle,Tank,Strength-based,35,8,22,5,43,2809,103,15
44,Tuskettle,Tank,Strength-based,36,8,22,5,44,2921,105,16
45,Tuskettle,Tank,Strength-based,37,9,23,5,44,3013,107,16
46,Tuskettle,Tank,Strength-based,37,10,24,5,45,3130,108,16
47,Tuskettle,Tank,Strength-based,38,10,24,5,46,3249,111,17
48,Tuskettle,Tank,Strength-based,39,10,24,6,47,3372,113,17
49,Tuskettle,Tank,Strength-based,39,11,25,6,48,3497,115,17
50,Tuskettle,Tank,Strength-based,40,11,25,6,49,3623,124,17
51,Tuskettle,Tank,Strength-based,41,11,27,6,49,3729,126,18
52,Tuskettle,Tank,Strength-based,42,11,27,7,50,3862,128,18
53,Tuskettle,Tank,Strength-based,43,11,27,7,51,3998,130,18
54,Tuskettle,Tank,Strength-based,43,12,28,7,52,4137,131,18
55,Tuskettle,Tank,Strength-based,44,12,28,7,53,4279,134,19
